CityCode,City,CountryCode,Year,a,b.cntUSD,q
R400,West Bengal,IN,2005,1.812550386,2519.431325,0.964588183
R400,West Bengal,IN,2006,1.806183392,2553.914584,0.958467051
R400,West Bengal,IN,2007,1.796803169,2508.887942,0.949543241
R400,West Bengal,IN,2008,1.789061475,2641.051832,0.942245539
R400,West Bengal,IN,2009,1.782055406,2574.145937,0.93570236
R400,West Bengal,IN,2010,1.777110513,2622.482321,0.931142851
R400,West Bengal,IN,2011,1.770283754,2678.44636,0.92490263
R400,West Bengal,IN,2012,1.76372682,2691.627268,0.919017244
R400,West Bengal,IN,2013,1.75627584,2643.115314,0.912485359
R400,West Bengal,IN,2014,1.75627584,2709.357967,0.912485359
R400,West Bengal,IN,2015,1.75627584,2804.804734,0.912485359
R400,West Bengal,IN,2016,1.75627584,2895.237192,0.912485359
R400,West Bengal,IN,2017,1.75627584,3010.803768,0.912485359
R400,West Bengal,IN,2018,1.75627584,3138.616326,0.912485359
R400,West Bengal,IN,2019,1.75627584,3277.533123,0.912485359
R400,West Bengal,IN,2020,1.75627584,3421.681225,0.912485359
R400,West Bengal,IN,2021,1.75627584,3566.637545,0.912485359
R400,West Bengal,IN,2022,1.75627584,3723.252494,0.912485359
R400,West Bengal,IN,2023,1.75627584,3884.81284,0.912485359
R400,West Bengal,IN,2024,1.75627584,4051.540269,0.912485359
R400,West Bengal,IN,2025,1.75627584,4218.273507,0.912485359
R400,West Bengal,IN,2026,1.75627584,4383.063698,0.912485359
R400,West Bengal,IN,2027,1.75627584,4548.129335,0.912485359
R400,West Bengal,IN,2028,1.75627584,4719.234765,0.912485359
R400,West Bengal,IN,2029,1.75627584,4899.950923,0.912485359
R400,West Bengal,IN,2030,1.75627584,5090.65772,0.912485359
R399,Uttarakhand,IN,2005,1.675637133,5513.967615,1.703149986
R399,Uttarakhand,IN,2006,1.662196251,6166.396575,1.699109163
R399,Uttarakhand,IN,2007,1.642390541,6527.702458,1.693210098
R399,Uttarakhand,IN,2008,1.625986422,7457.204453,1.688379685
R399,Uttarakhand,IN,2009,1.611094053,7787.104537,1.684138424
R399,Uttarakhand,IN,2010,1.600641308,8578.941472,1.681076621
R399,Uttarakhand,IN,2011,1.586192714,9071.695258,1.676913609
R399,Uttarakhand,IN,2012,1.572353392,9151.874332,1.673019243
R399,Uttarakhand,IN,2013,1.556722697,9190.113585,1.668700007
R399,Uttarakhand,IN,2014,1.556722697,9420.439334,1.668700007
R399,Uttarakhand,IN,2015,1.556722697,9752.307801,1.668700007
R399,Uttarakhand,IN,2016,1.556722697,10066.74151,1.668700007
R399,Uttarakhand,IN,2017,1.556722697,10468.56657,1.668700007
R399,Uttarakhand,IN,2018,1.556722697,10912.97091,1.668700007
R399,Uttarakhand,IN,2019,1.556722697,11395.9847,1.668700007
R399,Uttarakhand,IN,2020,1.556722697,11897.18774,1.668700007
R399,Uttarakhand,IN,2021,1.556722697,12401.20096,1.668700007
R399,Uttarakhand,IN,2022,1.556722697,12945.75123,1.668700007
R399,Uttarakhand,IN,2023,1.556722697,13507.49665,1.668700007
R399,Uttarakhand,IN,2024,1.556722697,14087.20803,1.668700007
R399,Uttarakhand,IN,2025,1.556722697,14666.9396,1.668700007
R399,Uttarakhand,IN,2026,1.556722697,15239.9152,1.668700007
R399,Uttarakhand,IN,2027,1.556722697,15813.84852,1.668700007
R399,Uttarakhand,IN,2028,1.556722697,16408.78221,1.668700007
R399,Uttarakhand,IN,2029,1.556722697,17037.1324,1.668700007
R399,Uttarakhand,IN,2030,1.556722697,17700.22005,1.668700007
R398,Uttar Pradesh,IN,2005,1.670386955,1671.382152,1.120260864
R398,Uttar Pradesh,IN,2006,1.662174179,1707.182005,1.11420715
R398,Uttar Pradesh,IN,2007,1.650088545,1681.467815,1.105363441
R398,Uttar Pradesh,IN,2008,1.640090749,1735.846776,1.098112909
R398,Uttar Pradesh,IN,2009,1.631042557,1730.947335,1.091607441
R398,Uttar Pradesh,IN,2010,1.624669771,1769.496163,1.087060456
R398,Uttar Pradesh,IN,2011,1.615868887,1773.008482,1.080832404
R398,Uttar Pradesh,IN,2012,1.607448838,1719.356565,1.074934185
R398,Uttar Pradesh,IN,2013,1.597939486,1646.873958,1.068350409
R398,Uttar Pradesh,IN,2014,1.597939486,1688.148473,1.068350409
R398,Uttar Pradesh,IN,2015,1.597939486,1747.619504,1.068350409
R398,Uttar Pradesh,IN,2016,1.597939486,1803.966217,1.068350409
R398,Uttar Pradesh,IN,2017,1.597939486,1875.973512,1.068350409
R398,Uttar Pradesh,IN,2018,1.597939486,1955.611041,1.068350409
R398,Uttar Pradesh,IN,2019,1.597939486,2042.167407,1.068350409
R398,Uttar Pradesh,IN,2020,1.597939486,2131.983297,1.068350409
R398,Uttar Pradesh,IN,2021,1.597939486,2222.302773,1.068350409
R398,Uttar Pradesh,IN,2022,1.597939486,2319.886514,1.068350409
R398,Uttar Pradesh,IN,2023,1.597939486,2420.551636,1.068350409
R398,Uttar Pradesh,IN,2024,1.597939486,2524.436268,1.068350409
R398,Uttar Pradesh,IN,2025,1.597939486,2628.32452,1.068350409
R398,Uttar Pradesh,IN,2026,1.597939486,2731.002095,1.068350409
R398,Uttar Pradesh,IN,2027,1.597939486,2833.851297,1.068350409
R398,Uttar Pradesh,IN,2028,1.597939486,2940.463776,1.068350409
R398,Uttar Pradesh,IN,2029,1.597939486,3053.064514,1.068350409
R398,Uttar Pradesh,IN,2030,1.597939486,3171.890226,1.068350409
R397,Tripura,IN,2005,1.853703611,3445.232933,1.105410268
R397,Tripura,IN,2006,1.844983661,3510.874645,1.098912227
R397,Tripura,IN,2007,1.832164149,3360.027857,1.08940547
R397,Tripura,IN,2008,1.821579036,3350.669976,1.081596604
R397,Tripura,IN,2009,1.812016155,3337.340507,1.0745752
R397,Tripura,IN,2010,1.805292654,3299.482521,1.069657907
R397,Tripura,IN,2011,1.796026797,3400.340679,1.062908885
R397,Tripura,IN,2012,1.787183103,3479.553885,1.056496523
R397,Tripura,IN,2013,1.777224208,3387.903403,1.049313123
R397,Tripura,IN,2014,1.777224208,3472.812189,1.049313123
R397,Tripura,IN,2015,1.777224208,3595.154345,1.049313123
R397,Tripura,IN,2016,1.777224208,3711.069239,1.049313123
R397,Tripura,IN,2017,1.777224208,3859.200649,1.049313123
R397,Tripura,IN,2018,1.777224208,4023.028763,1.049313123
R397,Tripura,IN,2019,1.777224208,4201.090117,1.049313123
R397,Tripura,IN,2020,1.777224208,4385.856873,1.049313123
R397,Tripura,IN,2021,1.777224208,4571.659592,1.049313123
R397,Tripura,IN,2022,1.777224208,4772.406156,1.049313123
R397,Tripura,IN,2023,1.777224208,4979.491653,1.049313123
R397,Tripura,IN,2024,1.777224208,5193.200235,1.049313123
R397,Tripura,IN,2025,1.777224208,5406.916262,1.049313123
R397,Tripura,IN,2026,1.777224208,5618.141721,1.049313123
R397,Tripura,IN,2027,1.777224208,5829.720245,1.049313123
R397,Tripura,IN,2028,1.777224208,6049.040478,1.049313123
R397,Tripura,IN,2029,1.777224208,6280.679591,1.049313123
R397,Tripura,IN,2030,1.777224208,6525.124547,1.049313123
R396,Tamil Nadu,IN,2005,1.74164943,4420.840711,1.185936724
R396,Tamil Nadu,IN,2006,1.732396571,4831.732441,1.179589684
R396,Tamil Nadu,IN,2007,1.718788113,5088.919465,1.170300514
R396,Tamil Nadu,IN,2008,1.70753927,5340.743819,1.162668581
R396,Tamil Nadu,IN,2009,1.697366136,5288.856189,1.155808542
R396,Tamil Nadu,IN,2010,1.690205248,5554.519291,1.151007027
R396,Tamil Nadu,IN,2011,1.680321486,6036.930915,1.144422092
R396,Tamil Nadu,IN,2012,1.670870669,5946.238304,1.138178424
R396,Tamil Nadu,IN,2013,1.660201412,5706.398033,1.131203409
R396,Tamil Nadu,IN,2014,1.660201412,5849.41372,1.131203409
R396,Tamil Nadu,IN,2015,1.660201412,6055.480114,1.131203409
R396,Tamil Nadu,IN,2016,1.660201412,6250.720782,1.131203409
R396,Tamil Nadu,IN,2017,1.660201412,6500.225175,1.131203409
R396,Tamil Nadu,IN,2018,1.660201412,6776.168235,1.131203409
R396,Tamil Nadu,IN,2019,1.660201412,7076.08498,1.131203409
R396,Tamil Nadu,IN,2020,1.660201412,7387.295935,1.131203409
R396,Tamil Nadu,IN,2021,1.660201412,7700.251808,1.131203409
R396,Tamil Nadu,IN,2022,1.660201412,8038.378273,1.131203409
R396,Tamil Nadu,IN,2023,1.660201412,8387.181685,1.131203409
R396,Tamil Nadu,IN,2024,1.660201412,8747.140659,1.131203409
