Country,CountryCode,Region,RegionCode,RegionCodeOld
Azerbaijan,AJ,Absheron,R001,AJR1
Azerbaijan,AJ,Aran,R002,AJR35
Azerbaijan,AJ,Baku city,R003,AJR59
Azerbaijan,AJ,Ganja-Gazakh,R004,AJR187
Azerbaijan,AJ,Guba-Khachmaz,R005,AJR211
Azerbaijan,AJ,Kalbajar-Lachin,R006,AJR289
Azerbaijan,AJ,Lankaran,R007,AJR329
Azerbaijan,AJ,Mountain Shirvan,R008,AJR394
Azerbaijan,AJ,Nakhchivan,R009,AJR400
Azerbaijan,AJ,Sheki-Zagatala,R010,AJR604
Azerbaijan,AJ,Upper Garabagh,R011,AJR699
Algeria,AL,High Plateau Centre,R012,ALR235
Algeria,AL,High Plateau East,R013,ALR236
Algeria,AL,High Plateau West,R014,ALR237
Algeria,AL,North Centre,R015,ALR437
Algeria,AL,North East,R016,ALR431
Algeria,AL,North West,R017,ALR442
Algeria,AL,South East,R018,ALR624
Algeria,AL,South West,R019,ALR628
Argentina,AR,Cuyo,R020,ARR145
Argentina,AR,Gran Buenos Aires,R021,ARR199
Argentina,AR,Noreste,R022,ARR429
Argentina,AR,Noroeste,R023,ARR430
Argentina,AR,Pampeana,R024,ARR488
Argentina,AR,Patagonica,R025,ARR493
Austria,AT,Burgenland,R026,ATR86
Austria,AT,Karnten,R027,ATR303
Austria,AT,Niederosterreich,R028,ATR416
Austria,AT,Oberosterreich,R029,ATR468
Austria,AT,Salzburg,R030,ATR583
Austria,AT,Steiermark,R031,ATR639
Austria,AT,Tirol,R032,ATR691
Austria,AT,Vorarlberg,R033,ATR718
Austria,AT,Wien,R034,ATR736
Australia,AU,Australian Capital Territory,R035,AUR52
Australia,AU,New South Wales,R036,AUR413
Australia,AU,Northern Territory,R037,AUR456
Australia,AU,Other Territories,R038,AUR483
Australia,AU,Queensland,R039,AUR518
Australia,AU,South Australia,R040,AUR619
Australia,AU,Tasmania,R041,AUR679
Australia,AU,Victoria,R042,AUR710
Australia,AU,Western Australia,R043,AUR732
Belgium,BE,Brussels-Capital,R044,BER531
Belgium,BE,Flemish,R045,BER532
Belgium,BE,Walloon,R046,BER559
Belarus,BL,Brest,R047,BLR83
Belarus,BL,Gomel,R048,BLR194
Belarus,BL,Grodno,R049,BLR204
Belarus,BL,Minsk,R050,BLR385
Belarus,BL,Minsk city,R051,BLR386
Belarus,BL,Mogilev,R052,BLR390
Belarus,BL,Vitebsk,R053,BLR716
Brazil,BR,Central-West,R054,BRR114
Brazil,BR,Northeast,R055,BRR424
Brazil,BR,North,R056,BRR432
Brazil,BR,Southeast,R057,BRR648
Brazil,BR,South,R058,BRR652
Bosnia-Herzegovina,BS,Brcko District,R059,BSR2098
Bosnia-Herzegovina,BS,Federation of Bosnia and Herzegovina,R060,BSR2
Bosnia-Herzegovina,BS,Republika Srpska,R061,BSR3
Bulgaria,BU,North Central,R062,BUR435
Bulgaria,BU,North-East,R063,BUR444
Bulgaria,BU,North-West,R064,BUR457
Bulgaria,BU,South Central,R065,BUR621
Bulgaria,BU,South-East,R066,BUR629
Bulgaria,BU,South-West,R067,BUR636
Bolivia,BV,Beni,R068,BVR74
Bolivia,BV,Chuquisaca,R069,BVR132
Bolivia,BV,Cochabamba,R070,BVR134
Bolivia,BV,La Paz,R071,BVR324
Bolivia,BV,Oruro,R072,BVR479
Bolivia,BV,Pando,R073,BVR489
Bolivia,BV,Potosi,R074,BVR506
Bolivia,BV,Santa Cruz,R075,BVR585
Bolivia,BV,Tarija,R076,BVR677
Canada,CA,Alberta,R077,CAR15
Canada,CA,British Columbia,R078,CAR84
Canada,CA,Manitoba,R079,CAR361
Canada,CA,New Brunswick,R080,CAR409
Canada,CA,Newfoundland and Labrador,R081,CAR415
Canada,CA,Northwest Territories,R082,CAR458
Canada,CA,Nova Scotia,R083,CAR461
Canada,CA,Nunavut,R084,CAR463
Canada,CA,Ontario,R085,CAR474
Canada,CA,Prince Edward Island,R086,CAR508
Canada,CA,Quebec,R087,CAR517
Canada,CA,Saskatchewan,R088,CAR587
Canada,CA,Yukon,R089,CAR744
Switzerland,CH,Espace Mittelland,R090,CHR175
Switzerland,CH,Northwestern Switzerland,R091,CHR428
Switzerland,CH,Eastern Switzerland,R092,CHR482
Switzerland,CH,Lake Geneva,R093,CHR540
Switzerland,CH,Ticino,R094,CHR690
Switzerland,CH,Central Switzerland,R095,CHR754
Switzerland,CH,Zurich,R096,CHR759
Chile,CL,Aisen del General Carlos Ibanez del Campo,R097,CLR8
Chile,CL,Antofagasta,R098,CLR30
Chile,CL,Araucania,R099,CLR36
Chile,CL,Arica-Parinacota,R100,CLR2025
Chile,CL,Atacama,R101,CLR48
Chile,CL,Bio-Bio,R102,CLR78
Chile,CL,Coquimbo,R103,CLR139
Chile,CL,Libertador General Bernardo O'Higgins,R104,CLR335
Chile,CL,Los Lagos,R105,CLR341
Chile,CL,Magallanes y de la Antartica Chilena,R106,CLR353
Chile,CL,Maule,R107,CLR368
Chile,CL,Metropolitana,R108,CLR541
Chile,CL,Tarapaca,R109,CLR676
Chile,CL,Valparaiso,R110,CLR706
Chile,CL,Los Rios,R111,
China,CN,Anhui,R112,CNR29
China,CN,Beijing,R113,CNR72
China,CN,Chongqing,R114,CNR127
China,CN,Fujian,R115,CNR184
China,CN,Gansu,R116,CNR188
China,CN,Guangdong,R117,CNR207
China,CN,Guangxi,R118,CNR208
China,CN,Guizhou,R119,CNR214
China,CN,Hainan,R120,CNR223
China,CN,Hebei,R121,CNR228
China,CN,Heilongjiang,R122,CNR230
China,CN,Henan,R123,CNR232
China,CN,Hubei,R124,CNR247
China,CN,Hunan,R125,CNR248
China,CN,Inner Mongolia,R126,CNR254
China,CN,Jiangsu,R127,CNR279
China,CN,Jiangxi,R128,CNR280
China,CN,Jilin,R129,CNR283
China,CN,Liaoning,R130,CNR333
China,CN,Ningxia,R131,CNR418
China,CN,Qinghai,R132,CNR515
China,CN,Shaanxi,R133,CNR597
China,CN,Shandong,R134,CNR598
China,CN,Shanghai,R135,CNR599
China,CN,Shanxi,R136,CNR600
China,CN,Sichuan,R137,CNR608
China,CN,Tianjin,R138,CNR688
China,CN,Tibet,R139,CNR689
China,CN,Xinjiang,R140,CNR739
China,CN,Yunnan,R141,CNR746
China,CN,Zhejiang,R142,CNR755
Colombia,CO,Amazonia,R143,COR2083
Colombia,CO,Atlantica,R144,COR49
Colombia,CO,Bogota,R145,COR79
Colombia,CO,Central,R146,COR98
Colombia,CO,Oriental,R147,COR477
Colombia,CO,Pacifica,R148,COR486
Croatia,CR,Central Croatia,R149,CRR101
Croatia,CR,Dalmatia,R150,CRR149
Croatia,CR,Istria and Northern seacoast,R151,CRR263
Croatia,CR,Slavonia,R152,CRR614
