CountryCode,City,ProductName,Issue,arg
IN,all,Possession of Mobile Telephone,originals.other.method,
NG,all,Possession of Mobile Telephone,originals.other.method,
TH,all,Possession of Mobile Telephone,originals.other.method,
US,all,Possession of Mobile Telephone,originals.other.method,
BV,all,Possession of Mobile Telephone,smooth,
CN,all,Possession of Mobile Telephone,smooth,
DR,all,Possession of Mobile Telephone,smooth,
IN,all,Possession of Mobile Telephone,smooth,
UK,all,Possession of Mobile Telephone,smooth,
AJ,Baku,Possession of Vacuum Cleaner,originals.other.method,
AJ,Baku,Possession of Washing Machine,originals.other.method,
AT,Graz,Possession of Broadband Internet Enabled Computer,originals.other.method,
AT,Graz,Possession of Internet Enabled Computer,originals.other.method,
AT,Graz,Possession of Personal Computer,originals.other.method,
AT,all,Possession of Personal Computer,smooth,
BV,Tarija,Possession of Personal Computer,originals.other.method,
BV,Tarija,Possession of Internet Enabled Computer,originals.other.method,
CH,all,Possession of Broadband Internet Enabled Computer,originals.other.method,
CH,all,Possession of Internet Enabled Computer,originals.other.method,
CH,all,Possession of Mobile Telephone,originals.other.method,
CH,all,Possession of Personal Computer,originals.other.method,
DR,San Francisco de Macorís,Possession of Motorcycle,smooth,
DR,Higüey,Possession of Motorcycle,smooth,
EC,all,Possession of Colour TV Set,originals.other.method,
EG,Port Said,Possession of Mobile Telephone,originals.other.method,
ET,Tartu,Possession of Refrigerator,originals.other.method,
GB,all,Possession of Passenger Car,smooth,
IT,all,Possession of Personal Computer,originals.other.method,
IT,Genoa,Possession of Personal Computer,smooth,
JO,all,Possession of Satellite TV System,originals.other.method,
JP,all,Possession of Mobile Telephone,originals.other.method,
LT,Panev?žys,Possession of Microwave Oven,originals.other.method,
LT,all,Possession of Mobile Telephone,originals.other.method,
MY,all,Possession of Mobile Telephone,originals.other.method,
MY,all,Possession of Personal Computer,originals.other.method,
MY,all,Possession of Internet Enabled Computer,originals.other.method,
MY,all,Possession of Broadband Internet Enabled Computer,originals.other.method,
MO,Rabat,Possession of Mobile Telephone,stretch,100
MO,Casablanca,Possession of Mobile Telephone,stretch,100
NL,Groningen,Possession of Colour TV Set,originals.other.method,
NL,Groningen,Possession of Refrigerator,originals.other.method,
NL,Groningen,Possession of Washing Machine,originals.other.method,
PH,Bacolod,Possession of Personal Computer,originals.other.method,
PH,Bacolod,Possession of Telephone,stretch,15
PU,Cusco,Possession of Colour TV Set,originals.other.method,
PU,Cusco,Possession of Personal Computer,originals.other.method,
PU,Cusco,Possession of Hi-Fi Stereo,stretch,60
RU,all,Possession of Air Conditioner,originals.other.method,
SK,all,Possession of Personal Computer,originals.other.method,
SK,all,Possession of Internet Enabled Computer,originals.other.method,
