ProductName,ProductID
Possession of Air Conditioner,2494
Possession of Bicycle,2495
Possession of Black and White TV Set,2496
Possession of Broadband Internet Enabled Computer,87218
Possession of Cable TV,12980
Possession of Camera,2497
Possession of Cassette/Radio Player,12981
Possession of CD Player,2498
Possession of Colour TV Set,2499
Possession of Cooker,12982
Possession of Dishwasher,2500
Possession of DVD Player/Recorder,59926
Possession of Freezer,2501
Possession of Hi-Fi Stereo,2502
Possession of Household Durables,2493
Possession of Internet Enabled Computer,59927
Possession of Microwave Oven,2503
Possession of Mobile Telephone,68800
Possession of Motorcycle,2504
Possession of Passenger Car,2505
Possession of Personal Computer,2506
Possession of Printer,152648
Possession of Refrigerator,2508
Possession of Satellite TV System,12987
Possession of Telephone,2511
Possession of Tumble Drier,2512
Possession of Vacuum Cleaner,2513
Possession of Video Camera,2514
Possession of Video Game Console,12988
Possession of Videotape Recorder,2515
Possession of Washing Machine,2516
