  [1] City changed because of Region: IN40; because of R371; Possession of Colour TV Set; 1.26238920533501; 1.17828614046839; 76.57219936; 70.3056562608005; 64.57219936             
  [2] City changed because of Region: IN50; because of R380; Possession of Colour TV Set; 1.15292376280705; 1.10387367197007; 78.57219936; 79.1111603148304; 64.57219936             
  [3] City changed because of Region: IN39; because of R385; Possession of Air Conditioner; 1.54082942278093; 3.08521450335685; 6.04908339; 16.9352063033075; 12.04908339            
  [4] City changed because of Region: IN58; because of R385; Possession of Air Conditioner; 0.669412541567295; 0.455777338141208; 6.04908339; 16.9352063033075; 12.04908339          
  [5] City changed because of Region: IN34; because of R386; Possession of Air Conditioner; 3.13618683824587; 2.43165423933706; 23.04908339; 5.71285500479827; 12.04908339           
  [6] City changed because of Region: IN37; because of R386; Possession of Air Conditioner; 2.60585833384885; 2.3501686302446; 23.04908339; 5.71285500479827; 12.04908339            
  [7] City changed because of Region: IN47; because of R386; Possession of Air Conditioner; 1.94156509126339; 1.63407693972399; 23.04908339; 5.71285500479827; 12.04908339           
  [8] City changed because of Region: IN32; because of R387; Possession of Air Conditioner; 1.15621164121874; 1.20906959432302; 17.04908339; 18.2053971922629; 12.04908339           
  [9] City changed because of Region: IN45; because of R387; Possession of Air Conditioner; 0.968475005355418; 0.693498006336951; 17.04908339; 18.2053971922629; 12.04908339         
 [10] City changed because of Region: IN27; because of R387; Possession of Air Conditioner; 1.874831882125; 2.0814934173564; 17.04908339; 18.2053971922629; 12.04908339              
 [11] City changed because of Region: IN20; because of R387; Possession of Air Conditioner; 1.91711134570547; 2.27899664602189; 17.04908339; 18.2053971922629; 12.04908339           
 [12] City changed because of Region: IN53; because of R393; Possession of Air Conditioner; 0.88202680092827; 0.771557253046691; 43.04908339; 15.8639411663858; 12.04908339          
 [13] City changed because of Region: IN46; because of R383; Possession of Colour TV Set; 1.35134509373903; 1.30212382490919; 45.57219936; 54.6803197894194; 64.57219936             
 [14] City changed because of Region: IN38; because of R393; Possession of Air Conditioner; 1.29148009352687; 1.14752506894637; 43.04908339; 15.8639411663858; 12.04908339           
 [15] City changed because of Region: IN30; because of R394; Possession of Air Conditioner; 1.805359720791; 1.67777289217117; 27.04908339; 9.59230832204728; 12.04908339             
 [16] City changed because of Region: IN36; because of R396; Possession of Air Conditioner; 0.906701957562182; 0.66688413903216; 5.04908339; 17.5820916191346; 12.04908339           
 [17] City changed because of Region: IN43; because of R396; Possession of Air Conditioner; 1.01003876700237; 1.07965883396674; 5.04908339; 17.5820916191346; 12.04908339            
 [18] City changed because of Region: IN24; because of R396; Possession of Air Conditioner; 0.99995831776344; 1.36516839109862; 5.04908339; 17.5820916191346; 12.04908339            
 [19] City changed because of Region: IN31; because of R398; Possession of Air Conditioner; 2.1752055334906; 2.75227935289346; 13.04908339; 4.72266669160792; 12.04908339            
 [20] City changed because of Region: IN29; because of R398; Possession of Air Conditioner; 1.76727679287239; 2.49576901459306; 13.04908339; 4.72266669160792; 12.04908339           
 [21] City changed because of Region: IN44; because of R398; Possession of Air Conditioner; 2.02780371166592; 2.68465277067254; 13.04908339; 4.72266669160792; 12.04908339           
 [22] City changed because of Region: IN41; because of R398; Possession of Air Conditioner; 1.36460872270794; 1.952457175642; 13.04908339; 4.72266669160792; 12.04908339             
 [23] City changed because of Region: IN55; because of R398; Possession of Air Conditioner; 1.62791733019308; 2.54902804642695; 13.04908339; 4.72266669160792; 12.04908339           
 [24] City changed because of Region: IN49; because of R383; Possession of Colour TV Set; 1.26454421785868; 1.37428171994075; 45.57219936; 54.6803197894194; 64.57219936             
 [25] City changed because of Region: IN51; because of R398; Possession of Air Conditioner; 0.909815559761277; 0.824816741502333; 13.04908339; 4.72266669160792; 12.04908339         
 [26] City changed because of Region: IN42; because of R398; Possession of Air Conditioner; 0.945169515418572; 0.618312543158541; 13.04908339; 4.72266669160792; 12.04908339         
 [27] City changed because of Region: IN23; because of R400; Possession of Air Conditioner; 1.55783719678193; 1.34769719664072; 3.04908339; 9.40313802525594; 12.04908339            
 [28] City changed because of Region: IN48; because of R400; Possession of Air Conditioner; 1.4290448135995; 1.14823730350335; 3.04908339; 9.40313802525594; 12.04908339             
 [29] City changed because of Region: IN40; because of R371; Possession of Satellite TV System; 1.21132415582236; 1.05767964060464; 25.3827511675424; 23.3200741816932; 21.60755723  
 [30] City changed because of Region: IN52; because of R371; Possession of Satellite TV System; 1.13536227241664; 1.03273912890182; 25.3827511675424; 23.3200741816932; 21.60755723  
 [31] City changed because of Region: IN25; because of R371; Possession of Satellite TV System; 1.170004221826; 1.06322639750046; 25.3827511675424; 23.3200741816932; 21.60755723    
 [32] City changed because of Region: IN33; because of R374; Possession of Satellite TV System; 1.586407017269; 2.0005701533019; 12.6368351353156; 15.6304636371806; 21.60755723     
